,ticker,eps_estimate,eps_actual,eps_surprise_pct,report_date,trade_date,daily_prc_change,reaction_daily_prc_chang,open,high,low,close
0,AAPL,0.7,0.73,4.29,2020-10-29,2020-10-30,3.71,-5.6,111.05999755859375,111.98999786376953,107.72000122070312,108.86000061035156
1,AAPL,0.51,0.65,26.22,2020-07-30,2020-07-31,1.21,10.47,102.88500213623047,106.41500091552734,100.82499694824219,106.26000213623047
2,AAPL,0.56,0.64,12.92,2020-04-30,2020-05-01,2.11,-1.61,71.5625,74.75,71.4625015258789,72.26750183105469
3,AAPL,1.14,1.25,9.76,2020-01-28,2020-01-29,2.83,2.09,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266
4,AAPL,0.71,0.76,6.76,2019-10-30,2019-10-31,-0.01,2.26,61.810001373291016,62.29249954223633,59.314998626708984,62.189998626708984
5,AAPL,0.53,0.55,3.81,2019-07-30,2019-07-31,-0.43,2.04,54.10499954223633,55.342498779296875,52.82500076293945,53.2599983215332
6,AAPL,0.59,0.62,4.24,2019-04-30,2019-05-01,-1.93,4.91,52.470001220703125,53.82749938964844,52.307498931884766,52.630001068115234
7,AAPL,1.04,1.05,0.29,2019-01-29,2019-01-30,-1.04,6.83,40.8125,41.537498474121094,40.057498931884766,41.3125
8,TSLA,0.57,0.76,33.57,2020-10-21,2020-10-22,0.17,0.75,441.9200134277344,445.2300109863281,424.510009765625,425.7900085449219
9,TSLA,0.01,0.44,7166.67,2020-07-22,2020-07-23,1.53,-4.98,335.7900085449219,337.79998779296875,296.15399169921875,302.614013671875
10,TSLA,-0.05,0.23,547.06,2020-04-29,2020-04-30,4.08,-2.33,171.03799438476562,173.96400451660156,152.6999969482422,156.37600708007812
11,TSLA,0.35,0.41,19.42,2020-01-29,2020-01-30,2.49,10.3,126.48400115966797,130.17599487304688,123.5999984741211,128.16200256347656
12,TSLA,-0.08,0.37,542.86,2019-10-23,2019-10-24,-0.35,17.67,59.67399978637695,60.986000061035156,57.84000015258789,59.93600082397461
13,TSLA,-0.07,-0.22,-215.49,2019-07-24,2019-07-25,1.81,-13.61,46.70000076293945,46.900001525878906,45.11000061035156,45.763999938964844
14,TSLA,-0.14,-0.58,-323.36,2019-04-24,2019-04-25,-1.99,-4.26,51.0,51.79999923706055,49.2140007019043,49.5260009765625
15,TSLA,0.44,0.39,-12.27,2019-01-30,2019-01-31,3.8,-0.57,60.20000076293945,62.3120002746582,58.79999923706055,61.40399932861328
16,FB,1.91,2.71,42.18,2020-10-29,2020-10-30,4.92,-6.31,274.5,276.70001220703125,259.1000061035156,263.1099853515625
17,FB,1.39,1.8,29.59,2020-07-30,2020-07-31,0.52,8.17,255.82000732421875,255.85000610351562,249.0,253.6699981689453
18,FB,1.76,1.71,-2.56,2020-04-29,2020-04-30,6.17,5.42,206.9199981689453,209.69000244140625,201.57000732421875,204.7100067138672
19,FB,2.53,2.56,1.35,2020-01-29,2020-01-30,2.5,-6.14,206.52999877929688,211.42999267578125,204.75,209.52999877929688
20,FB,1.91,2.12,10.94,2019-10-30,2019-10-31,-0.56,1.81,196.6999969482422,198.08999633789062,188.25,191.64999389648438
21,FB,1.88,0.91,-51.62,2019-07-24,2019-07-25,1.14,-1.93,206.6999969482422,208.66000366210938,198.25999450683594,200.7100067138672
22,FB,1.63,0.85,-47.72,2019-04-24,2019-04-25,-0.65,5.85,196.97999572753906,198.47999572753906,192.1199951171875,193.25999450683594
23,FB,2.19,2.38,8.87,2019-01-30,2019-01-31,4.32,10.82,165.60000610351562,171.67999267578125,165.0,166.69000244140625
24,UBER,-0.65,,,2020-11-05,,,,,,,
25,UBER,-0.86,-1.02,-18.06,2020-08-06,2020-08-07,4.55,-5.21,33.09000015258789,33.70000076293945,32.45000076293945,32.900001525878906
26,UBER,-0.88,-1.7,-93.62,2020-05-07,2020-05-08,11.18,6.01,32.59000015258789,33.29999923706055,31.639999389648438,32.790000915527344
27,UBER,-0.67,-0.64,5.19,2020-02-06,2020-02-07,0.76,9.54,39.97999954223633,41.0,38.86000061035156,40.630001068115234
28,UBER,-0.81,-0.68,16.56,2019-11-04,2019-11-05,-0.92,-9.85,29.1299991607666,29.299999237060547,27.969999313354492,28.020000457763672
29,UBER,-3.19,-4.72,-47.82,2019-08-08,2019-08-09,8.24,-6.8,39.560001373291016,40.68000030517578,38.709999084472656,40.04999923706055
30,UBER,-2.26,-2.23,1.33,2019-05-30,2019-05-31,-0.35,1.53,41.150001525878906,41.56999969482422,39.40999984741211,40.40999984741211
